refdes	value	footprint	farnell	qty/1	model-name	
J49	?	smdjmp	unknown	unknown	unknown	
R43	120R	RTH300mil	9342419	1	MF12 10K	
J44	?	smdjmp	unknown	unknown	unknown	
J45	?	smdjmp	unknown	unknown	unknown	
J46	?	smdjmp	unknown	unknown	unknown	
CONN17	unknown	HEADER10_2	1593442
	unknown	2213S-10G
	
J37	?	smdjmp	unknown	unknown	unknown	
D7	unknown	DTH300mil	unknown	unknown	unknown	
R48	40K	RTH300mil	9342419	1	MF12 10K	
R47	2K	RTH300mil	9342419	1	MF12 10K	
C1	100n	CTH200mil	1215508	1	BFC237011104	
C8	100n	CTH200mil	1215508	1	BFC237011104	
C7	100n	CTH200mil	1215508	1	BFC237011104	
C5	100n	CTH200mil	1215508	1	BFC237011104	
C6	100n	CTH200mil	1215508	1	BFC237011104	
232_D9M2	-	D9ML	1099289 	1	8LCM009P-301B-XX	
232_D9M1	-	D9ML	1099289 	1	8LCM009P-301B-XX	
U1	-	DIP16	9605495	1	ADM202EANZ	
J43	?	smdjmp	unknown	unknown	unknown	
J40	?	smdjmp	unknown	unknown	unknown	
J41	?	smdjmp	unknown	unknown	unknown	
J42	?	smdjmp	unknown	unknown	unknown	
232_D9F1	unknown	D9FL	1099294	1	8LCM009S-304B-XX	
R41	10k	RTH300mil	9342419	1	MF12 10K	
R39	10k	RTH300mil	9342419	1	MF12 10K	
R44	10k	RTH300mil	9342419	1	MF12 10K	
CONN19	-	SIP2	unknown	0	unknown	
J39	-	SIP5	unknown	unknown	unknown	
J38	-	SIP5	unknown	unknown	unknown	
CONN18	-	SIP5	unknown	0	unknown	
U17	unknown	DIP14	1739924	1	CD74HC08E	
J34	?	smdjmp	unknown	unknown	unknown	
J33	?	smdjmp	unknown	unknown	unknown	
J36	?	smdjmp	unknown	unknown	unknown	
J35	?	smdjmp	unknown	unknown	unknown	
U16	unknown	DIP14	2460682	1	ADM489ANZ	
J5	?	smdjmp	unknown	unknown	unknown	
J4	?	smdjmp	unknown	unknown	unknown	
J7	?	smdjmp	unknown	unknown	unknown	
J9	?	smdjmp	unknown	unknown	unknown	
J2	?	smdjmp	unknown	unknown	unknown	
J1	?	smdjmp	unknown	unknown	unknown	
C2	100n	CTH200mil	1215508	1	BFC237011104	
C15	100n	CTH200mil	1215508	1	BFC237011104	
C23	100n	CTH200mil	1215508	1	BFC237011104	
C16	100n	CTH200mil	1215508	1	BFC237011104	
C19	100n	CTH200mil	1215508	1	BFC237011104	
U2	-	DIP16	9605495	1	ADM202EANZ	
CONN20	unknown	TERM2_100mil	2007967	unknown	MC000001	
CONN6	unknown	TERM3_100mil	2007968	unknown	MC000002	
CONN11	unknown	TERM8C_100mil	2007972	unknown	MC000006	
CONN9	unknown	TERM10C_100mil	2007973	unknown	MC000007	
CONN12	-	power2_200mil	1793049	1	MFKDSP/ 2-5,08	
R45	1M	RTH300mil	9342435	1	MF12 1M	
M2	unknown	traco_tmr	1284245	unknown	TMR 6-2411WI	
F1	200mA	RTH300mil	1861122	1	MC36187	
C17	330n	CTH200mil	1215512	1	BFC237011334 	
C18	100n	CTH200mil	1215508	1	BFC237011104	
U4	10V	78XX_TO220	2451062	1	LM7810ACT	
M3	TMH0512S	traco_tmh	1007552	1	TMH0512S	
CONN1	unknown	TERM6C_100mil	2007971	unknown	MC000005	
CONN3	unknown	TERM8C_100mil	2007972	unknown	MC000006	
CONN10	unknown	TERM8C_100mil	2007972	unknown	MC000006	
R13	34K	RTH300mil	1083419	1	YR1B34KCC	
R12	34K	RTH300mil	1083419	1	YR1B34KCC	
R11	34K	RTH300mil	1083419	1	YR1B34KCC	
R9	34K	RTH300mil	1083419	1	YR1B34KCC	
R8	34K	RTH300mil	1083419	1	YR1B34KCC	
